City,Year,"Higher Education Expenditure","Elementary & Secondary Education Expenditure","Libraries Expenditure","Public Welfare Expenditure","Cash Assistance Expenditure","Police Protection Expenditure","Fire Protection Expenditure","Corrections Expenditure","Census ID - City"
"AZ: Mesa (City)",1977,0,0,17,0,0,142,96,3,32007008
"AZ: Mesa (City)",1978,0,0,21,0,0,150,99,2,32007008
"AZ: Mesa (City)",1979,0,0,25,0,0,161,100,2,32007008
"AZ: Mesa (City)",1980,0,0,103,0,0,196,107,2,32007008
"AZ: Mesa (City)",1981,0,0,41,0,0,218,97,2,32007008
"AZ: Mesa (City)",1982,0,0,34,0,0,193,101,2,32007008
"AZ: Mesa (City)",1983,0,0,39,1,0,234,116,2,32007008
"AZ: Mesa (City)",1984,0,0,45,0,0,224,118,1,32007008
"AZ: Mesa (City)",1985,0,0,49,1,0,255,128,2,32007008
"AZ: Mesa (City)",1986,0,0,46,1,0,228,144,2,32007008
"AZ: Mesa (City)",1987,0,0,68,1,0,237,148,2,32007008
"AZ: Mesa (City)",1988,0,0,44,2,0,263,142,2,32007008
"AZ: Mesa (City)",1989,0,0,41,1,0,274,122,2,32007008
"AZ: Mesa (City)",1990,0,0,38,1,0,245,113,5,32007008
"AZ: Mesa (City)",1991,0,0,36,1,0,247,115,6,32007008
"AZ: Mesa (City)",1992,0,0,60,1,0,299,174,6,32007008
"AZ: Mesa (City)",1993,0,0,36,0,0,236,101,0,32007008
"AZ: Mesa (City)",1994,0,0,36,0,0,259,99,0,32007008
"AZ: Mesa (City)",1995,0,0,44,0,0,270,107,0,32007008
"AZ: Mesa (City)",1996,0,0,44,0,0,271,108,0,32007008
"AZ: Mesa (City)",1997,0,0,40,0,0,319,122,0,32007008
"AZ: Mesa (City)",1998,0,0,53,7,0,319,115,0,32007008
"AZ: Mesa (City)",1999,0,0,44,8,0,345,135,0,32007008
"AZ: Mesa (City)",2000,0,0,43,10,0,390,133,0,32007008
"AZ: Mesa (City)",2001,0,0,43,0,0,387,147,0,32007008
"AZ: Mesa (City)",2002,0,0,44,5,0,415,153,0,32007008
"AZ: Mesa (City)",2003,0,0,55,4,0,377,172,0,32007008
"AZ: Mesa (City)",2004,0,0,38,6,0,378,145,0,32007008
"AZ: Mesa (City)",2005,0,0,38,16,0,390,154,0,32007008
"AZ: Mesa (City)",2006,0,0,33,8,0,382,167,0,32007008
"AZ: Mesa (City)",2007,0,0,31,9,0,409,163,0,32007008
"AZ: Mesa (City)",2008,0,0,31,10,0,471,173,0,32007008
"AZ: Mesa (City)",2009,0,0,27,8,0,474,168,0,32007008
"AZ: Mesa (City)",2010,0,0,21,5,0,423,186,0,32007008
"AZ: Mesa (City)",2011,0,0,22,7,0,383,158,0,32007008
"AZ: Mesa (City)",2012,0,0,21,8,0,376,182,0,32007008
"AZ: Mesa (City)",2013,0,0,19,7,0,382,179,0,32007008
"AZ: Mesa (City)",2014,0,0,15,0,0,406,146,0,32007008
"AZ: Mesa (City)",2015,0,0,14,0,0,350,132,0,32007008
"AZ: Phoenix (City)",1977,0,6,31,1,0,254,108,1,32007010
"AZ: Phoenix (City)",1978,0,6,23,2,0,263,112,3,32007010
"AZ: Phoenix (City)",1979,0,8,21,1,0,254,108,2,32007010
"AZ: Phoenix (City)",1980,0,7,20,4,0,245,103,2,32007010
"AZ: Phoenix (City)",1981,0,7,19,4,0,236,108,2,32007010
"AZ: Phoenix (City)",1982,0,7,19,4,0,231,103,2,32007010
"AZ: Phoenix (City)",1983,0,7,21,3,0,255,114,0,32007010
"AZ: Phoenix (City)",1984,0,11,21,2,0,249,115,0,32007010
"AZ: Phoenix (City)",1985,0,11,22,2,0,250,121,0,32007010
"AZ: Phoenix (City)",1986,0,13,23,1,0,261,123,0,32007010
"AZ: Phoenix (City)",1987,0,12,25,1,0,256,128,0,32007010
"AZ: Phoenix (City)",1988,0,13,25,1,0,264,130,0,32007010
"AZ: Phoenix (City)",1989,0,6,36,1,0,271,151,0,32007010
"AZ: Phoenix (City)",1990,0,6,37,2,0,289,149,0,32007010
"AZ: Phoenix (City)",1991,0,5,30,3,0,267,148,0,32007010
"AZ: Phoenix (City)",1992,0,0,26,0,0,264,143,0,32007010
"AZ: Phoenix (City)",1993,0,0,70,0,0,240,131,0,32007010
"AZ: Phoenix (City)",1994,0,3,23,0,0,254,142,0,32007010
"AZ: Phoenix (City)",1995,0,16,26,0,0,256,146,0,32007010
"AZ: Phoenix (City)",1996,0,15,27,0,0,255,159,0,32007010
"AZ: Phoenix (City)",1997,0,15,43,0,0,271,142,0,32007010
"AZ: Phoenix (City)",1998,0,16,36,0,0,278,143,0,32007010
"AZ: Phoenix (City)",1999,0,17,32,0,0,276,140,0,32007010
"AZ: Phoenix (City)",2000,0,17,32,0,0,291,178,0,32007010
"AZ: Phoenix (City)",2001,0,17,28,0,0,273,143,0,32007010
"AZ: Phoenix (City)",2002,0,18,29,0,0,306,160,0,32007010
"AZ: Phoenix (City)",2003,0,19,28,0,0,314,172,0,32007010
"AZ: Phoenix (City)",2004,0,19,32,0,0,326,169,0,32007010
"AZ: Phoenix (City)",2005,0,19,34,0,0,362,175,0,32007010
"AZ: Phoenix (City)",2006,0,15,33,0,0,315,161,0,32007010
"AZ: Phoenix (City)",2007,0,17,31,9,4,368,207,0,32007010
"AZ: Phoenix (City)",2008,0,16,35,5,3,359,215,0,32007010
"AZ: Phoenix (City)",2009,0,16,36,10,5,372,221,0,32007010
"AZ: Phoenix (City)",2010,0,17,28,2,0,380,231,0,32007010
"AZ: Phoenix (City)",2011,0,16,28,1,0,362,208,0,32007010
